kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10272442,K00734.02,2,CANDIDATE,0.9740000000000001,70.2780911,10.722873,2.54,0.75,-0.23,0.025584,0.001309,-0.000918,0.91,0.269,-0.084,5955,1177,10272442,70.278,0.039,0.9430379904329339,0.1989172856171984,0.9850013808574639,0.039,0.9465863270040228
10358759,K00738.02,2,CANDIDATE,1.0,13.28689997,28.055307,2.78,0.22,-0.13,0.029278,0.000786,-0.000482,0.87,0.067,-0.042,5730,1183,10358759,13.287,0.00045,0.9981621989954637,0.0016758993972180861,0.9999969091797074,0.00045,0.9995469105705765
10358759,K00738.01,1,CANDIDATE,1.0,10.3392408,38.329365,2.98,0.23,-0.15,0.031329,0.0008029999999999999,-0.000429,0.87,0.067,-0.042,5730,1182,10358759,10.339,0.00072,0.9986906572388397,0.00017432376050271006,0.9999997714113489,0.00072,0.9992797715759326
10395381,K00740.01,1,CANDIDATE,1.0,17.671771399999994,30.951159000000004,2.44,0.27,-0.17,0.032562,0.001883,-0.005142,0.687,0.075,-0.048,4869,1185,10395381,17.672,8.7e-06,0.9984933514543968,0.0009971125208017334,0.9999984939333021,8.7e-06,0.9999897939464049
10601284,K00749.01,1,CANDIDATE,1.0,5.349553819,48.504196,2.55,0.16,-0.24,0.025706,0.0008449999999999999,-0.000453,0.899,0.057,-0.086,5190,1229,10601284,5.35,1.2e-05,0.9987155531201563,1.765856711848827e-05,0.9999999772889369,1.2e-05,0.9999879772892094
10601284,K00749.02,2,CANDIDATE,0.98,3.94105221,22.749151,1.7,0.11,-0.16,0.017105000000000002,0.0007030000000000001,-0.000557,0.899,0.057,-0.086,5190,1230,10601284,3.941,2.6e-06,0.9957530613311587,0.0042067292950894765,0.9999819822848051,2.6e-06,0.9999793823316512
10601284,K00749.03,3,CANDIDATE,0.971,8.10904807,9.776852,1.3,0.09,-0.12,0.013127000000000002,0.0008699999999999999,-0.000503,0.899,0.057,-0.086,5190,1231,10601284,8.109,0.0014,0.8760520614396929,0.06922882779373449,0.9894766637759762,0.0014,0.9880913964466899
10662202,K00750.01,1,CANDIDATE,1.0,21.67699193,24.54073,2.95,0.12,-0.23,0.032666,2.1e-05,-0.005743,0.784,0.032,-0.054000000000000006,4954,1232,10662202,21.677,4.4e-05,0.9972467794356572,0.004288657427003101,0.9999881087840939,4.4e-05,0.9999441093073074
10662202,K00750.02,2,CANDIDATE,0.915,5.04413987,8.172602000000001,1.18,0.04,-0.1,0.012998,4e-06,-0.001851,0.784,0.032,-0.054000000000000006,4954,1266,10662202,5.044,0.42,0.8099294096873464,0.08903692248863872,0.9770629733043186,0.42,0.5666965245165049
10662202,K00750.03,3,CANDIDATE,0.929,14.516741,7.5396094,1.45,0.06,-0.11,0.016064,0.003089,-0.002879,0.784,0.032,-0.054000000000000006,4954,1267,10662202,14.517,0.0095,0.7939038784621884,0.12176665325494122,0.964006809773484,0.0095,0.9548487450806359
10910878,K00757.01,1,CANDIDATE,1.0,16.06864674,137.44981,5.76,0.22,-0.49,0.062161,0.000913,-0.0004280000000000001,0.836,0.033,-0.066,5028,1310,10910878,16.069,2.4e-05,0.9987168513824418,1.2282356165502898e-13,0.9999999999999999,2.4e-05,0.9999759999999999
10910878,K00757.02,2,CANDIDATE,0.992,41.19725502,37.877567,3.86,0.15,-0.33,0.041693,0.00118,-0.0006129999999999999,0.836,0.033,-0.066,5028,1311,10910878,41.197,0.00075,0.9986943584352372,0.0003867789307663993,0.9999994941494953,0.00075,0.9992494945288831
10910878,K00757.03,3,CANDIDATE,1.0,6.2529622489999985,35.96252,2.65,0.1,-0.23,0.028604,0.001027,-0.000484,0.836,0.033,-0.066,5028,1312,10910878,6.253,0.00041,0.998661519277014,0.0002635839630324704,0.9999996466319528,0.00041,0.9995896467768337
10987985,K00758.01,1,CANDIDATE,1.0,16.01308419,31.066507,3.1,0.34,-0.31,0.034369,0.003169,-0.004367,0.826,0.091,-0.08199999999999999,5015,1313,10987985,16.013,7.4e-05,0.9984975828215606,0.0009369183591196844,0.9999985889176455,7.4e-05,0.9999245890220656
11018648,K00759.01,1,CANDIDATE,1.0,32.62876672,61.372303,3.36,0.76,-0.33,0.03852,0.000971,-0.000365,0.7979999999999999,0.181,-0.077,5586,1314,11018648,32.629,2.9e-06,0.9987168301473535,2.091286573857493e-06,0.9999999973130708,2.9e-06,0.9999970973130785
11018648,K00759.02,2,CANDIDATE,0.978,91.7732862,14.678595,2.12,0.48,-0.21,0.02432,0.007051000000000002,-0.001216,0.7979999999999999,0.181,-0.077,5586,1315,11018648,91.773,0.03,0.9841950889632859,0.1480657868831531,0.9972090020248644,0.03,0.9672927319641185
11138155,K00760.01,1,CANDIDATE,1.0,4.959319244,670.4895,12.21,1.96,-1.46,0.103379,0.001245,-7.4e-05,1.086,0.154,-0.138,5714,1316,11138155,4.959,0.071,0.9987168513824418,2.874050193096271e-63,1.0,0.071,0.929
5531576,K00837.01,1,CANDIDATE,1.0,7.953547,31.887648,2.25,0.07,-0.14,0.026448000000000003,0.000736,-0.000874,0.7829999999999999,0.022,-0.048,4756,1009,5531576,7.954,9.3e-05,0.9985320516481155,0.0006547591324555886,0.9999990368037526,9.3e-05,0.9999060368933298
5531576,K00837.02,2,CANDIDATE,1.0,4.14451656,18.548983,1.48,0.05,-0.09,0.017440999999999998,0.000954,-0.000583,0.7829999999999999,0.022,-0.048,4756,1010,5531576,4.145,0.00034,0.9883707253110001,0.01031422150856831,0.9998773770161423,0.00034,0.9995374187079569
5651104,K00840.01,1,CANDIDATE,1.0,3.04033046,653.3606599999998,8.99,0.8,-0.99,0.104023,0.00047,-0.001431,0.7909999999999999,0.071,-0.087,5035,1013,5651104,3.04,0.00019,0.9987168513824418,1.0737536479686495e-61,1.0,0.00019,0.99981
8226994,K00906.01,1,CANDIDATE,1.0,7.15681552,38.487896,2.47,0.1,-0.2,0.026979000000000003,0.004494,-0.00075,0.807,0.032,-0.06,5035,723,8226994,7.157,3.5e-06,0.9986911207736188,0.00015676929166263143,0.9999997945067921,3.5e-06,0.9999962945075113
8226994,K00906.02,2,CANDIDATE,1.0,17.64830851,19.097145,2.43,0.1,-0.19,0.026581,0.005396,-0.001882,0.807,0.032,-0.06,5035,724,8226994,17.648,0.01,0.9909574893660239,0.012436335700533896,0.9998850890703693,0.01,0.9898862381796656
8226994,K00906.03,3,CANDIDATE,0.9570000000000001,4.14810719,10.764539,1.08,0.04,-0.09,0.011755,0.000754,-0.000646,0.807,0.032,-0.06,5035,725,8226994,4.148,0.00024,0.9013316121924132,0.05218224839110238,0.9939731361826338,0.00024,0.99373458262995
8260218,K01066.01,1,CANDIDATE,1.0,5.714817602999999,529.8256,9.29,2.47,-0.99,0.101045,0.000109,-0.000195,0.8420000000000001,0.224,-0.09,5695,1512,8260218,5.715,0.00033,0.9987168513824418,3.4206893075491524e-50,1.0,0.00033,0.99967
8222813,K01069.01,1,CANDIDATE,1.0,8.70420525,60.56746,2.86,0.13,-0.24,0.030316000000000006,0.003569,-0.00099,0.8740000000000001,0.039,-0.077,5073,1515,8222813,8.704,1.2e-05,0.9987168175930808,1.4431658407547504e-06,0.999999998145773,1.2e-05,0.9999879981457952
8222813,K01069.02,2,CANDIDATE,1.0,2.46697039,24.837725,1.56,0.07,-0.13,0.016558,0.003196,-0.000833,0.8740000000000001,0.039,-0.077,5073,1516,8222813,2.467,0.00014,0.9971083737283704,0.002606674347105761,0.999992420856696,0.00014,0.9998524219177761
8435247,K01131.01,1,CANDIDATE,0.9740000000000001,0.696125302,41.593784,28.44,3.25,-2.66,0.386422,0.17588900000000002,-0.083861,0.674,0.077,-0.063,5245,1796,8435247,0.696,1.0,0.9987060830525732,6.967167008810662e-05,0.999999909727559,1.0,0.0
3442055,K01218.01,1,CANDIDATE,0.9990000000000001,29.6193891,36.15261,1.74,0.24,-0.19,0.016028,0.000563,-0.000241,0.996,0.133,-0.109,5618,1528,3442055,29.619,0.012,0.9986748196817037,0.0004300836584941815,0.9999994290597751,0.012,0.9879994359110578
10925104,K00156.01,2,CANDIDATE,0.68,8.041347775,59.488434,1.29,0.08,-0.07,0.02196,0.000346,-0.000425,0.54,0.033,-0.033,3980,334,10925104,8.041,0.00011,0.998716804394528,1.7907144461702436e-06,0.9999999976992066,0.00011,0.9998899976994596
10925104,K00156.02,3,CANDIDATE,0.992,5.188563677,42.199,1.0,0.07,-0.06,0.017039,0.000381,-0.000301,0.54,0.033,-0.033,3980,335,10925104,5.189,9.9e-05,0.9987082387747734,6.778302617765977e-05,0.9999999123213197,9.9e-05,0.9999009123299999
10925104,K00156.03,1,CANDIDATE,1.0,11.776132317,137.93265,2.08,0.13,-0.12,0.035355000000000004,0.00234,-0.001145,0.54,0.033,-0.033,3980,336,10925104,11.776,1.3e-05,0.9987168513824418,1.0048577735667183e-13,0.9999999999999999,1.3e-05,0.9999869999999998
8972058,K00159.01,1,CANDIDATE,1.0,8.99088621,72.13723,2.78,0.46,-0.39,0.021706,5.2e-05,-0.0017170000000000002,1.171,0.196,-0.161,5881,366,8972058,8.991,2.5e-06,0.9987168503331604,1.2225619583256173e-07,0.9999999998429254,2.5e-06,0.9999974998429259
8972058,K00159.02,2,CANDIDATE,1.0,2.403640701,15.105959,1.24,0.2,-0.17,0.009671,0.000943,-0.001849,1.171,0.196,-0.161,5881,367,8972058,2.404,0.0066,0.9697466396004069,0.02049105624351009,0.9993473636227563,0.0066,0.9927516710228461
4076098,K01323.01,1,CANDIDATE,1.0,3.990105908,246.02412,7.45,2.18,-0.73,0.074711,0.003166,-0.002293,0.913,0.267,-0.08900000000000001,5926,1452,4076098,3.99,0.00012,0.9987168513824418,7.643023098768352e-24,1.0,0.00012,0.99988
4282872,K01325.01,1,CANDIDATE,1.0,10.035381809,139.00804,4.42,1.13,-0.38,0.048571,0.00075,-0.000314,0.833,0.213,-0.071,5813,1454,4282872,10.035,9.2e-05,0.9987168513824418,7.674236242286929e-14,0.9999999999999999,9.2e-05,0.9999079999999999
4274548,K01331.01,1,CANDIDATE,0.9990000000000001,6.80082032,21.30607,1.88,0.23,-0.12,0.025016,0.009148,-0.001442,0.688,0.083,-0.045,4805,1495,4274548,6.801,0.019,0.9942751417894796,0.006100468079355803,0.9999646590006392,0.019,0.9809653304796271
5084942,K00161.01,1,CANDIDATE,1.0,3.105507835,177.66933999999995,2.68,0.17,-0.1,0.030988,5e-05,-0.003153,0.7909999999999999,0.052000000000000005,-0.028,4989,369,5084942,3.106,4e-07,0.9987168513824418,1.678585191732999e-17,1.0,4e-07,0.9999996
8107380,K00162.01,1,CANDIDATE,1.0,14.00640392,95.65456,3.11,0.45,-0.41,0.025312,0.00239,-0.0008560000000000001,1.124,0.16399999999999998,-0.14800000000000002,5788,370,8107380,14.006,0.00021,0.998716851381575,8.95108902023822e-10,0.9999999999988499,0.00021,0.9997899999988501
4243911,K01337.01,1,CANDIDATE,1.0,1.922799706,24.998684,1.28,0.11,-0.05,0.014398,0.0006519999999999999,-0.000412,0.8240000000000001,0.08,-0.029,5191,1540,4243911,1.923,5.3e-05,0.9971762607648097,0.002487831391413272,0.9999929375498001,5.3e-05,0.99993993792411
4466677,K01338.01,1,CANDIDATE,1.0,3.222975318,26.349789,1.47,0.4,-0.21,0.014062,0.000409,-0.000413,0.96,0.261,-0.14,5823,1541,4466677,3.223,0.00015,0.9977013153561597,0.0019202984075292113,0.9999955671570169,0.00015,0.9998455678219433
4466677,K01338.02,2,CANDIDATE,0.9990000000000001,42.0370662,12.082628,1.66,0.45,-0.24,0.015824,0.003748,-0.00108,0.96,0.261,-0.14,5823,1542,4466677,42.037,0.0018,0.9501575253844613,0.0893085399785931,0.9948557068450511,0.0018,0.99306496657273
4466677,K01338.03,3,CANDIDATE,0.754,21.0112068,7.701652,1.4,0.38,-0.2,0.013379,0.003282,-0.002024,0.96,0.261,-0.14,5823,1543,4466677,21.011,0.02,0.81110626655824,0.13431167079565035,0.9638680015696324,0.02,0.9445906415382397
10984090,K00112.02,2,CANDIDATE,1.0,3.709214104,41.28873,1.16,0.17,-0.12,0.010424,0.00031800000000000003,-0.000147,1.022,0.14300000000000002,-0.107,5833,66,10984090,3.709,1.5e-05,0.9987053785683616,7.963393945458336e-05,0.999999896762331,1.5e-05,0.9999848967638796
10984090,K00112.01,1,CANDIDATE,0.99,51.07926451,105.49973,2.75,0.39,-0.28,0.024683,0.000279,-0.000116,1.022,0.14300000000000002,-0.107,5833,65,10984090,51.079,1.4e-05,0.9987168513824098,2.5276872545296395e-10,0.9999999999996753,1.4e-05,0.9999859999996753
10287242,K00735.01,1,CANDIDATE,1.0,22.34213536,43.82718300000001,5.19,0.54,-0.55,0.067166,47.18453,-0.012463,0.7070000000000001,0.07400000000000001,-0.07400000000000001,5237,1178,10287242,22.342,0.18,0.9987123472140663,7.062711428252898e-05,0.9999999089331135,0.18,0.8199999253251532
10340423,K00736.01,1,CANDIDATE,1.0,18.79418506,33.832794,2.33,0.11,-0.11,0.035431,0.0005809999999999999,-0.001203,0.602,0.028,-0.028,4126,1179,10340423,18.794,0.00011,0.9986236304928136,0.0005524499956437657,0.9999992381557911,0.00011,0.9998892382395939
10340423,K00736.02,2,CANDIDATE,1.0,6.73893544,19.473684,1.44,0.06,-0.07,0.021833,0.001046,-0.000785,0.602,0.028,-0.028,4126,1180,10340423,6.739,0.0023,0.9910429245487997,0.00898875134889489,0.9999180225225912,0.0023,0.9976182110707893
10526549,K00746.01,1,CANDIDATE,1.0,9.27358173,71.48005,2.47,0.2,-0.24,0.032563,0.003061,-0.00063,0.696,0.056,-0.068,4856,1226,10526549,9.274,2.2e-06,0.9987168501079674,1.4161598409141196e-07,0.999999999818052,2.2e-06,0.9999977998180525
10583066,K00747.01,1,CANDIDATE,1.0,6.02930329,52.36939,2.85,0.26,-0.15,0.038838,0.001021,-0.001203,0.672,0.062,-0.036000000000000004,4537,1227,10583066,6.029,0.00016,0.9987164465767463,7.844608767167649e-06,0.9999999899180058,0.00016,0.9998399899196189
8395660,K00116.01,1,CANDIDATE,1.0,13.57078281,76.76886999999998,2.64,0.4,-0.27,0.023908,0.000413,-0.002627,1.012,0.154,-0.103,5854,104,8395660,13.571,0.0035,0.9987168511317365,5.0364914806937445e-08,0.9999999999352913,0.0035,0.9964999999355179
8395660,K00116.02,2,CANDIDATE,0.998,43.84439721,65.59482,2.87,0.43,-0.3,0.025934,2.7e-05,-0.003042,1.012,0.154,-0.103,5854,105,8395660,43.844,0.00035,0.9987168459907382,1.0932042728062278e-06,0.9999999985954467,0.00035,0.9996499985959384
8395660,K00116.03,3,CANDIDATE,0.95,6.1648760000000005,11.552998,0.79,0.13,-0.08,0.007192000000000001,0.002592,-0.000407,1.012,0.154,-0.103,5854,106,8395660,6.165,0.21,0.9215751485656161,0.04643391397957288,0.9958561173765169,0.21,0.7867263327274484
8395660,K00116.04,4,CANDIDATE,0.9520000000000001,23.9800854,10.87813,1.31,0.2,-0.13,0.011879,0.000305,-0.002656,1.012,0.154,-0.103,5854,107,8395660,23.98,0.0015,0.9189582100435734,0.07769507635753385,0.992570967927765,0.0015,0.9910821114758734
11304958,K00764.01,1,CANDIDATE,0.998,41.43958662,124.52492,5.5,1.57,-0.96,0.048175,0.000284,-0.001083,1.046,0.297,-0.183,5468,1320,11304958,41.44,4e-05,0.9987168513824416,3.4688017614875044e-12,0.9999999999999956,4e-05,0.9999599999999955
