kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,KIC,KOI,koi_disposition,gaia_iso_prad,gaia_iso_prad_errp,gaia_iso_prad_errm,gaia_iso_sma,gaia_iso_sma_errp,gaia_iso_sma_errm,gaia_iso_insol,gaia_iso_insol_errp,gaia_iso_insol_errm,ZAMSFlux,Flag,insolation,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
6432345,K02757.01,1,CANDIDATE,0.998,234.635652,21.258717,2.56,0.25,-0.19,0.026459,0.000972,-0.0008320000000000001,6432345,2757.01,CANDIDATE,2.525700082177251,0.11032369130589376,0.09714917253296393,0.716194789752885,0.012934024902495072,0.015212015885683597,1.1787384769828315,0.09422533363448182,0.09253233590468306,0.8836699812939498,HZ,1.1787384769828315,006432345-01,0.874196354835,0.0206584476415,0.0193653463552,5437.3631866999995,2.531429711960325,0.11057396405678191,-0.0973695584751721,3623,6432345,234.636,0.038,0.9975158020069573,0.32017936275667547,0.9988270880419995,0.038,0.9608716586964035,PC
11076400,K02759.01,1,CANDIDATE,1.0,1.07808492,16.374084,1.01,0.03,-0.07,0.011362,0.000224,-0.0007610000000000001,11076400,2759.01,CANDIDATE,0.8888306841212906,0.024418200232806424,0.06208057913411062,0.018627949903373686,0.0002560217429764813,0.0003117915893181979,737.0781070704775,55.99229015489863,53.64097989733983,607.7944347781573,,737.0781070704775,011076400-01,0.716415367469,0.0137067873761,0.0141906415468,4845.27899223,0.8908470243810815,0.024473593685216004,-0.06222141087326576,3625,11076400,1.078,0.017,0.9975158020069573,0.028664556353674618,0.999926507603302,0.017,0.9829277569740459,PC
8210018,K02762.01,1,CANDIDATE,1.0,132.9955503,21.028376,2.51,0.21,-0.21,0.034912,0.004927,-0.0033450000000000003,8210018,2762.01,CONFIRMED,2.7892869386915744,0.3967854238358614,0.27185499169600713,0.4618023432661974,0.007173765715092555,0.006633502527804282,1.1017502357191802,0.081966805789717,0.0767285494337621,0.8573110101627776,HZ,1.1017502357191802,008210018-01,0.731676494745,0.013076259224700001,0.0130727504326,4693.50672619,2.7956145235185463,0.397685544003708,-0.2724717032636593,3628,8210018,132.996,9.5e-05,0.9975158020069573,0.08037390078669204,0.9997823442320193,9.5e-05,0.9996873649093173,PC
12602314,K02853.01,1,CANDIDATE,0.992,1.4070201180000002,15.100548000000002,1.12,0.04,-0.09,0.012061,0.000618,-0.000503,12602314,2853.01,CANDIDATE,1.095274891736922,0.062455655324066474,0.05264027583518301,0.02331191304787096,0.00040174461546645167,0.0004564307012028712,805.6958641081961,69.31290891260365,67.31950405375301,607.9498349198827,,805.6958641081961,012602314-01,0.831649735389,0.0208097231293,0.019865882785900003,5140.31698252,1.0977595571509322,0.0625973379353121,-0.052759691950478256,4025,12602314,1.407,0.00052,0.9975158020069573,0.03935075330294549,0.9998979872097762,0.00052,0.9993780402564272,PC
4547603,K02855.01,1,CANDIDATE,0.963,1.4007557430000002,16.541586,1.3,0.19,-0.19,0.011144,0.00046,-0.00055,4547603,2855.01,CANDIDATE,1.2333604415649009,0.059144530249092025,0.06721214523387987,0.024741814181030625,0.0004042912348676296,0.0005105157265130184,1626.321383202998,138.02202307643938,134.27322108356023,1204.8001658749495,,1626.321383202998,004547603-01,1.01356020494,0.0247384499626,0.0234198476272,5719.70802516,1.2361583583758167,0.05927870146934593,-0.06736461809153776,4027,4547603,1.401,0.025,0.9975158020069573,0.027656145534251376,0.9999291665817003,0.025,0.9749309374171578,PC
10880507,K02936.01,1,CANDIDATE,0.73,6.4802138,12.623598,1.26,0.16,-0.12,0.011743,0.003996,-0.001107,10880507,2936.01,CONFIRMED,1.2106321263373674,0.41303015726924,0.11766091996618976,0.06686180792250533,0.001278002611185008,0.001425702294229249,173.10247616207403,14.319250512156596,13.983302085757927,123.37727385941021,,173.10247616207403,010880507-01,0.9441342938770001,0.0231357526695,0.022326306848900003,5565.46618281,1.2133784832529635,0.4139671291239337,-0.11792783745021702,3725,10880507,6.48,6.2e-05,0.9975158020069573,0.07717800998137042,0.999791722640218,6.2e-05,0.9997297355534143,PC
4385148,K02942.01,1,CANDIDATE,0.9540000000000001,13.84301228,14.495762,1.98,0.5,-0.18,0.02167,0.00117,-0.000681,4385148,2942.01,CANDIDATE,2.111685729869833,0.14337523470457125,0.10438023254313293,0.1096675343882411,0.0019762835457237627,0.002341650715816376,59.32226435434058,6.941879553008914,6.438345559425287,46.157904204765615,AO,59.32226435434058,004385148-01,0.892423530879,0.0367390078105,0.0340494037117,5606.71824305,2.1164761551209277,0.14370048591737966,-0.10461702237157045,3730,4385148,13.843,0.0022,0.9975158020069573,0.0557937413260029,0.9998528416085147,0.0022,0.997653165356976,PC
4385148,K02942.02,2,CANDIDATE,0.973,24.2758992,12.554711,2.25,0.56,-0.2,0.024621,0.000725,-0.0013039999999999998,4385148,2942.02,CANDIDATE,2.399253085146523,0.1214379745756687,0.15661055008570648,0.1594806120621391,0.002873949191069165,0.0034052730539215594,28.051629318466862,3.282596084834358,3.0444907286955094,21.826618268232842,AO,28.051629318466862,004385148-02,0.892423530879,0.0367390078105,0.0340494037117,5606.71824305,2.4046958659544235,0.12171346042643727,-0.15696582602620573,3764,4385148,24.276,0.0021,0.9975158020069573,0.1035283690818299,0.9997123997600317,0.0021,0.9976130037205356,PC
8051946,K03038.01,1,CANDIDATE,0.993,1.4951513,11.614465,1.44,0.23,-0.32,0.009063,2.4e-05,-0.002584,8051946,3038.01,CONFIRMED,1.322939015007386,0.035436835205232504,0.3787414462275653,0.026601724913374536,0.000550347875618965,0.0006352530270995165,2989.3538919037237,292.12539457940295,275.75295910703085,1724.385952339494,,2989.3538919037237,008051946-01,1.33680630028,0.035632875408199996,0.0346031759699,6009.24521201,1.3259401436192368,0.035517224776362724,-0.379600633066772,3469,8051946,1.495,7.7e-06,0.9975158020069573,0.09017170491172714,0.999753181752411,7.7e-06,0.9997454836529115,PC
6357290,K03040.01,1,CANDIDATE,0.882,4.8099878,12.766799,1.59,0.43,-0.17,0.015608000000000004,0.000808,-0.000769,6357290,3040.01,CANDIDATE,1.5605262418836603,0.10840937083355996,0.10110880070937707,0.054055449741275255,0.0011347320672292136,0.0012652543074622524,243.9172074263917,30.109843330463292,27.648321681163306,171.4398179527121,,243.9172074263917,006357290-01,0.91563937232,0.042417798756300015,0.038527005374199993,5532.792508600001,1.5640663445648377,0.10865530088846848,-0.1013381691921844,3471,6357290,4.81,0.0011,0.9975158020069573,0.07268180322442622,0.9998048074067923,0.0011,0.9987050221186449,PC
