kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,iso_rad,iso_rad_err1,iso_rad_err2,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
11296724,K07437.01,1,CANDIDATE,0.668,1.9997243999999998,8.192667,0.84,0.2,-0.09,0.008536,0.0016179999999999999,-0.00023500000000000002,1.0275900898305703,0.04248527897625154,-0.038827352142631784,0.9599702391181743,0.18624073317345313,-0.044879221194963854,7297,11296724,2.0,0.0038,0.9647912031059828,0.13249172628586275,0.9944264361142743,0.0038,0.99064761565704
6887030,K07795.01,1,CANDIDATE,1.0,5.44085762,7.938199000000001,0.97,0.19,-0.09,0.011602,0.003113,-0.001131,0.7889361202759495,0.013672005709455705,-0.011999250239212668,1.0017472452616247,0.2693446500953258,-0.09883493821680822,7057,6887030,5.441,0.6,0.9603151894272406,0.14307422653673044,0.9931003237180466,0.6,0.39724012948721865
8677057,K07903.01,1,CANDIDATE,0.967,0.694611128,7.339942,0.64,0.06,-0.04,0.008865999999999999,0.000915,-0.000663,0.6957088259216676,0.011056306163741649,-0.010988826642698402,0.6750542806596684,0.07048895585743731,-0.05159439468778771,7959,8677057,0.695,0.0063,0.944417026785048,0.14163657387741424,0.9902885925863081,0.0063,0.9840497744530143
10656823,K00598.01,1,CANDIDATE,1.0,8.30783912,50.371227000000005,2.15,0.36,-0.18,0.025018000000000002,0.0006,-0.00023700000000000001,0.8093326030860339,0.012465954953880476,-0.013185161456672588,2.2159659337448483,0.06316149926925295,-0.04176086733124474,986,10656823,8.308,4.7e-06,0.9972578266519304,0.0012106781126137826,0.9999966669467475,4.7e-06,0.9999919669624129
10656823,K00598.02,2,CANDIDATE,0.999,34.096344099999996,14.434025,1.71,0.28,-0.15,0.019891,0.0005740000000000001,-0.0008789999999999999,0.8093326030860339,0.012465954953880476,-0.013185161456672588,1.7618426088463812,0.057631030754507435,-0.08297960862271252,987,10656823,34.096,0.0017,0.9965273867692458,0.11338940479224313,0.9995543368396467,0.0017,0.9978550944670193
5686174,K00610.01,1,CANDIDATE,1.0,14.28228147,37.293514,1.82,0.08,-0.09,0.027964999999999997,0.0009339999999999999,-0.000524,0.6489775731906,0.007028893617227472,-0.0072327081487629785,1.9862228252116167,0.06973849874409796,-0.04330274044665984,1036,5686174,14.282,4e-05,0.9972578255146863,0.0061909151165645835,0.9999828707037854,4e-05,0.9999428713889572
6587002,K00612.01,2,CANDIDATE,1.0,20.73989406,38.613728,2.11,0.15,-0.11,0.025087,0.002391,-0.002601,0.7874139307575355,0.008199246927522386,-0.008621141473205252,2.1618983966039633,0.20727301952287838,-0.22539021335085008,1038,6587002,20.74,1.8e-05,0.9972578261452447,0.005930001846696096,0.9999835969203204,1.8e-05,0.9999655972155759
6587002,K00612.02,1,CANDIDATE,0.998,47.4277116,46.8974,2.33,0.17,-0.12,0.027739999999999997,0.0028640000000000002,-0.0018329999999999998,0.7874139307575355,0.008199246927522386,-0.008621141473205252,2.390523439302983,0.24806028480666972,-0.16011436026947365,1039,6587002,47.428,0.00016,0.9972578266490559,0.0035671168188492774,0.9999901563370812,0.00016,0.9998301579120672
6587002,K00612.03,3,CANDIDATE,0.995,122.0804953,18.941614,2.92,0.2,-0.15,0.034713,0.000504,-0.00885,0.7874139307575355,0.008199246927522386,-0.008621141473205252,2.99142898877161,0.053447977246047884,-0.7633609267935672,1040,6587002,122.08,0.27,0.9972237853726932,0.25575212011314497,0.9990433302407374,0.27,0.7293016310757383
6768616,K06765.01,1,CANDIDATE,0.955,13.05609,7.9362965,1.3,0.39,-0.16,0.011992000000000001,0.00074,-0.000742,0.9857242452848384,0.029632817982521487,-0.02728492062805743,1.293690873155737,0.08880012878581085,-0.0876913503481796,6380,6768616,13.056,0.0017,0.9615229526226416,0.15996222903798762,0.9923798992099865,0.0017,0.9906928533813295
6838050,K00512.01,1,CANDIDATE,1.0,6.51003001,40.47481,2.78,0.75,-0.5,0.022098,0.000731,-0.000339,0.9725836033455288,0.017833707324474313,-0.017193857294934386,2.35214108845704,0.08896273396753235,-0.055055654786480356,1159,6838050,6.51,2.1e-05,0.9972578264713334,0.0037368755557309176,0.9999896861203265,2.1e-05,0.9999686863369179
7592922,K06890.01,1,CANDIDATE,0.952,2.15888911,8.309589,0.72,0.1,-0.07,0.009184999999999999,0.000659,-0.000717,0.7804638926407966,0.01629563979530968,-0.016086768073143458,0.7845406157283864,0.05862383342590112,-0.06334178661351916,6783,7592922,2.159,0.012,0.9669081676684897,0.13123859423007989,0.9948299274583586,0.012,0.9828919683288583
7602351,K06892.01,1,CANDIDATE,0.786,17.580602600000002,7.420501700000001,1.87,0.29,-0.35,0.012611,0.006845,-0.0020510000000000003,1.0587817526368395,0.031054976405657575,-0.029276869951228687,1.461300151336752,0.7943218870408956,-0.24107026224928366,6785,7602351,17.581,0.025,0.9503978111014117,0.1794345101930769,0.9885873068679714,0.025,0.9638726241962721
8256882,K07003.01,1,CANDIDATE,0.999,2.41194057,9.411102,1.35,0.21,-0.33,0.007779,0.00017900000000000001,-0.0008990000000000001,1.2520557881390473,0.029080823536304257,-0.02712253785734231,1.06593545379075,0.03485069993721629,-0.12533297528321194,6567,8256882,2.412,0.097,0.9811807934882312,0.11767002339543013,0.9974420793081034,0.097,0.9006901976152174
