# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
001575977-07 1575977 FP 0.0 1 0 0 0 30.12444285 156.44776472 "" 8.041 7 275.5 1.7897 2.911 1.727 7263 4.123 0.21421 0.015448 130.07 0.0891 2.8 162.06 1 84
001576115-01 1576115 FP 0.0 1 0 0 0 0.97003526 132.08438733 "" 15.6207 1350 293.5 3.4513 3.456 1.996 8254 4.083 0.02316 0.015865 2.26 0.0184 13.9 30898.485 1 84
001576115-02 1576115 FP 0.0 1 0 0 0 0.96996685 132.48910654 "" 22.2572 1364 129.0 3.2599 2.397 1.996 8254 4.083 0.02316 0.011006 1.95 0.6369 6.9 30899.866 1 84
001576115-03 1576115 FP 0.0 1 0 0 0 0.97005685 131.7193272 "" 21.7217 860 408.7 2.9711 4.173 1.996 8254 4.083 0.02316 0.01916 2.35 0.4806 25.0 30897.912 1 84
001576144-01 1576144 FP 0.0 1 0 0 0 2.68668556 132.26386567 "" 21.7699 493 46.5 3.1637 1.754 2.507 9181 4.003 0.05 0.006411 6.37 0.2422 20.7 16005.398 1 84
001576144-02 1576144 FP 0.0 1 0 0 0 294.74048062 406.59779531 "" 23.0263 3 753.0 8.9048 8.447 2.507 9181 4.003 1.14572 0.030878 93.43 0.9624 18.8 30.479 1 84
001576144-03 1576144 FP 0.0 1 0 0 0 2.68672671 132.03258428 "" 10.226 482 20.3 8.1546 1.301 2.507 9181 4.003 0.05 0.004757 1.46 0.9001 10.8 16005.982 1 84
001576704-01 1576704 FP 0.0 1 0 0 0 433.59673099 556.79872782 "" 8.6568 3 1686.1 5.715 4.029 0.978 5991 4.484 1.14463 0.037753 578.86 0.2822 8.4 0.843 1 84
001577039-01 1577039 FP 0.0 1 0 0 0 3.07287149 134.21450894 "" 10.1498 428 248.9 4.8259 3.037 1.896 6969 4.089 0.04849 0.014677 4.83 0.2491 7.5 3230.962 1 84
001577912-01 1577912 FP 0.0 1 0 0 0 1.88798309 131.75068592 "" 9.5583 696 52.4 5.5915 2.013 2.39 8220 3.949 0.03673 0.007719 1.5 0.9 10.2 17323.171 1 84
001718290-01 1718290 FP 0.0 1 0 0 0 0.54148721 131.94552411 "" 7.7249 2446 54.7 1.5024 1.259 1.579 11174 4.371 0.01675 0.007306 2.16 0.6995 4.7 124121.55 1 84
001718594-01 1718594 FP 0.0 1 0 0 0 367.24426138 165.40380116 "" 12.8937 3 303.0 5.2375 7.853 2.355 7796 3.972 1.24259 0.03056 133.45 1.0 12.6 11.888 1 84
001718594-02 1718594 FP 0.0 1 0 0 0 2.71868344 134.16196484 "" 10.8833 482 15.1 7.003 0.927 2.355 7796 3.972 0.0472 0.003606 3.02 0.0963 9.9 8239.426 1 84
001718594-03 1718594 FP 0.0 1 0 0 0 2.71852554 133.14818102 "" 8.7981 480 13.3 7.6184 0.931 2.355 7796 3.972 0.0472 0.003621 2.01 0.7474 9.0 8240.074 1 84
